Index,Region,Area,Asaltos,Poblacion,
1,Auckland Region,Auckland Central West,550,15900,
2,Wellington Region,Willis Street-Cambridge Terrace,447,8300,
3,Waikato Region,Hamilton Central,380,3170,
4,Auckland Region,Auckland Central East,375,13250,
5,Canterbury Region,Cathedral Square,305,570,
6,Auckland Region,Auckland Harbourside,253,5680,
7,Auckland Region,Manukau Central,192,900,
8,Manawatu-Wanganui Region,Palmerston North Central,190,3060,
9,Bay of Plenty Region,Kuirau,168,1290,
10,Bay of Plenty Region,Tauranga Central,167,2270,
11,Otago Region,Stuart St-Frederick St,154,3360,
12,Auckland Region,Otahuhu West,148,5400,
13,Nelson Region,Trafalgar,138,550,
14,Hawke's Bay Region,Hastings Central,130,2970,
15,Gisborne Region,Gisborne Central,128,3380,
16,Canterbury Region,Paparua,121,890,
17,Otago Region,Queenstown Hill,113,4100,
18,Auckland Region,Papatoetoe Central,109,5120,
19,Otago Region,High St-Stuart St,107,2540,
20,Wellington Region,Hutt Central,105,4070,
21,Wellington Region,Lambton,104,6000,
22,Auckland Region,Wiri,103,4390,
23,Taranaki Region,New Plymouth Central,102,680,
24,Auckland Region,Newton,101,2170,
25,Wellington Region,Porirua Central,96,410,
26,Auckland Region,Lynnmall,94,2610,
27,Marlborough Region,Blenheim Central,91,2790,
28,Auckland Region,Pukekohe North,91,9980,
29,Otago Region,Queenstown Bay,90,2360,
30,Waikato Region,Taupo Central,90,3900,
31,Auckland Region,Manurewa Central,89,4830,
32,Northland Region,Whangarei Central,87,280,
33,Auckland Region,Papakura Central,85,2290,
34,Hawke's Bay Region,Nelson Park,82,2480,
35,Auckland Region,Mangere Central,82,3350,
36,Auckland Region,Glen Innes West,82,5100,
37,Auckland Region,Mangere South,81,7980,
38,Canterbury Region,Hagley Park,80,1040,
39,Auckland Region,Henderson North,79,6290,
40,Canterbury Region,Seaview,78,2540,
41,Auckland Region,Mt Wellington South,75,6200,
42,Auckland Region,Otara North,74,1870,
43,Canterbury Region,Avon Loop,74,3670,
44,Southland Region,Otakaro Park,73,820,
45,Canterbury Region,Sydenham,70,6280,
46,Wellington Region,Paraparaumu Central,69,8920,
47,Canterbury Region,Shirley East,68,3580,
48,Northland Region,Kaikohe,68,4370,
49,Waikato Region,Hamilton Lake,67,4370,
50,Auckland Region,Hillpark,67,5600,
51,Manawatu-Wanganui Region,Cooks Gardens,66,300,
52,Canterbury Region,Linwood East,66,2190,
53,Waikato Region,Huntly East,66,4540,
54,Auckland Region,Puhinui South,65,3110,
